Video URL,Product Name
http://nadecomvideo.baidu.com/2f6c69cedc501011b8c4010df9361223_1080_1920.mp4,【熊宝堂熊胆粉】口苦口干 失眠多梦 熬夜喝酒应酬伤肝 专业调理肝损伤脂肪肝酒精肝排肝毒
http://nadecomvideo.baidu.com/30e86c4e83e2b05c739e35239c0637ba_1080_1920.mp4,欧修堂 穴位贴敷治疗贴 针对肝囊肿，急慢性肝炎，肝损伤等，专为肝部问题研发，传统工艺制作，成分科学配比，专业团队一对一指导
http://nadecomvideo.baidu.com/2ab1a6c610239377783b676fe33dbe3c_720_1280.mp4,健尔马牌 红曲人参银杏叶胶囊 【官方正品】改善中老年胆固醇高、甘油三酯高，辅助降高血脂
http://nadecomvideo.baidu.com/541f186a3dd87ebed6d78020cdedda90_1080_1920.mp4,【熊宝堂熊胆粉】口苦口干 失眠多梦 熬夜喝酒应酬伤肝 专业调理肝损伤脂肪肝酒精肝排肝毒
http://nadecomvideo.baidu.com/291d1a42e8c36abbd976f0f97edc3c10_1080_1920.mp4,【熊宝堂熊胆粉】口苦口干 失眠多梦 熬夜喝酒应酬伤肝 专业调理肝损伤脂肪肝酒精肝排肝毒
http://nadecomvideo.baidu.com/945aaed2e3e2fbe16db33e2b85153c23_720_1280.mp4,健尔马牌 红曲人参银杏叶胶囊 【官方正品】改善中老年胆固醇高、甘油三酯高，辅助降高血脂
http://nadecomvideo.baidu.com/305362724b080a64febc4fe968317991_720_1280.mp4,健尔马牌 红曲人参银杏叶胶囊 【官方正品】改善中老年胆固醇高、甘油三酯高，辅助降高血脂
http://nadecomvideo.baidu.com/b5ab7014690cc419180866226ab6c3ec_1080_1920.mp4,【熊宝堂熊胆粉】口苦口干 失眠多梦 熬夜喝酒应酬伤肝 专业调理肝损伤脂肪肝酒精肝排肝毒
http://nadecomvideo.baidu.com/94e9a257b069efffe537027a1088ea43_720_1280.mp4,健尔马牌 红曲人参银杏叶胶囊 【官方正品】改善中老年胆固醇高、甘油三酯高，辅助降高血脂
http://nadecomvideo.baidu.com/5b30f93a7cd7d56bf90c593618884ab9_720_1280.mp4,健尔马牌 红曲人参银杏叶胶囊 【官方正品】改善中老年胆固醇高、甘油三酯高，辅助降高血脂
http://nadecomvideo.baidu.com/6dd7b76638f868b1d8ba9b095a2c2734_1080_1920.mp4,欧修堂 穴位贴敷治疗贴 针对肝囊肿，急慢性肝炎，肝损伤等，专为肝部问题研发，传统工艺制作，成分科学配比，专业团队一对一指导
http://nadvideo2.baidu.com/f522d31d93d6c7d674676cee886f9d27_720_1280.mp4,甲状腺康™适用于甲状腺结节、甲状腺肿大、桥本氏甲状腺炎、淋巴结、淋巴结肿大等甲状腺问题
